#TYPE Selected.System.Management.ManagementObject
"name","AttachedTo","Status","StatusInfo"
"Sony Ericsson Device 0017 USB WMC Data Modem","COM3","OK","3"
"Sony Ericsson Device 0017 USB WMC Modem","COM4","OK","3"
"Sony Ericsson Device 0017 USB WMC Data Modem #2","COM7","OK","3"
"Sony Ericsson Device 0017 USB WMC Modem #2","COM8","OK","3"
"Sony Ericsson Device 0017 USB WMC Data Modem #3","COM11","OK","3"
"Sony Ericsson Device 0017 USB WMC Modem #3","COM12","OK","3"
"Sony Ericsson Device 0017 USB WMC Data Modem #4","COM15","OK","3"
"Sony Ericsson Device 0017 USB WMC Modem #4","COM16","OK","3"
"Sony Ericsson Device 0017 USB WMC Data Modem #5","COM19","OK","3"
"Sony Ericsson Device 0017 USB WMC Modem #5","COM20","OK","3"
"Sony Ericsson Device 0016 USB WMC Data Modem","COM23","OK","3"
"Sony Ericsson Device 0016 USB WMC Modem","COM24","OK","3"
"Sony Ericsson Device 0016 USB WMC Data Modem #2","COM27","Unknown","2"
"Sony Ericsson Device 0016 USB WMC Modem #2","COM28","Unknown","2"
"Sony Ericsson Device 0016 USB WMC Data Modem #3","COM31","Unknown","2"
"Sony Ericsson Device 0016 USB WMC Modem #3","COM32","Unknown","2"
"Sony Ericsson Device 0016 USB WMC Data Modem #4","COM35","Unknown","2"
"Sony Ericsson Device 0016 USB WMC Modem #4","COM36","Unknown","2"
"Novatel Wireless Merlin HSPA Modem","COM39","OK","3"
"Qualcomm HS-USB Modem 9001","COM47","Unknown","2"
"Qualcomm HS-USB Modem 9001 #2","COM48","Unknown","2"
"Qualcomm HS-USB Modem 9001 #3","COM53","Unknown","2"
"Nokia 6230i USB Modem","COM54","Unknown","2"
"Nokia 6230i USB Modem #2","COM55","Unknown","2"
"Nokia 6230i USB Modem #3","COM56","Unknown","2"
"Sony Ericsson Device 0017 USB WMC Data Modem #6","COM57","Unknown","2"
"Sony Ericsson Device 0017 USB WMC Modem #6","COM58","Unknown","2"
"Qualcomm HS-USB Modem 9001 #4","COM63","Unknown","2"
"Qualcomm HS-USB Modem 9001 #5","COM66","Unknown","2"
